"Watershed","Reach","Population","Simulation Period","Climate Scenario","Food Consumption Scenario","Percent Change in Mass"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","+20%","-2.35%"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","Mean","-2.89%"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","-20%","-3.75%"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","+20%","-2.17%"
"Beaver Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","Mean","-2.89%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","-20%","-7.75%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","+20%","-5.30%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","Mean","-6.42%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","-20%","-13.14%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","+20%","-9.48%"
"Beaver Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","Mean","-11.16%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 6.0","-20%","-4.45%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 6.0","+20%","-3.08%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 6.0","Mean","-3.69%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 8.5","-20%","-5.00%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 8.5","+20%","-3.18%"
"Beaver Creek","Upper","Age 0 Chinook","2030-2039","RCP 8.5","Mean","-4.00%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-9.88%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 6.0","+20%","-7.09%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 6.0","Mean","-8.36%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-17.20%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 8.5","+20%","-12.97%"
"Beaver Creek","Upper","Age 0 Chinook","2060-2069","RCP 8.5","Mean","-14.90%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 6.0","-20%","-3.82%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 6.0","+20%","-2.60%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 6.0","Mean","-3.16%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 8.5","-20%","-4.24%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 8.5","+20%","-2.62%"
"Beaver Creek","Upper","Age 1 Coho","2030-2039","RCP 8.5","Mean","-3.37%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 6.0","-20%","-8.59%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 6.0","+20%","-6.08%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 6.0","Mean","-7.23%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 8.5","-20%","-15.08%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 8.5","+20%","-11.29%"
"Beaver Creek","Upper","Age 1 Coho","2060-2069","RCP 8.5","Mean","-13.04%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","-20%","-3.34%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","+20%","-1.63%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","Mean","-2.40%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","-20%","-3.52%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","+20%","-1.36%"
"Kenai River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","Mean","-2.33%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-7.59%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","+20%","-4.21%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","Mean","-5.71%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-14.30%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","+20%","-9.10%"
"Kenai River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","Mean","-11.47%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 6.0","-20%","-3.66%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 6.0","+20%","-1.98%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 6.0","Mean","-2.73%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 8.5","-20%","-3.98%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 8.5","+20%","-1.80%"
"Kenai River","Lower","Age 0 Coho","2030-2039","RCP 8.5","Mean","-2.76%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 6.0","-20%","-8.30%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 6.0","+20%","-4.92%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 6.0","Mean","-6.43%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 8.5","-20%","-15.46%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 8.5","+20%","-10.26%"
"Kenai River","Lower","Age 0 Coho","2060-2069","RCP 8.5","Mean","-12.58%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 6.0","-20%","0.45%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 6.0","+20%","2.39%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 6.0","Mean","1.51%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 8.5","-20%","1.13%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 8.5","+20%","3.56%"
"Kenai River","Middle","Age 0 Chinook","2030-2039","RCP 8.5","Mean","2.45%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 6.0","-20%","0.48%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 6.0","+20%","4.41%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 6.0","Mean","2.60%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-1.36%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 8.5","+20%","4.72%"
"Kenai River","Middle","Age 0 Chinook","2060-2069","RCP 8.5","Mean","1.94%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 6.0","-20%","0.55%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 6.0","+20%","2.59%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 6.0","Mean","1.70%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 8.5","-20%","1.29%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 8.5","+20%","3.85%"
"Kenai River","Middle","Age 0 Coho","2030-2039","RCP 8.5","Mean","2.72%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 6.0","-20%","0.62%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 6.0","+20%","4.79%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 6.0","Mean","2.92%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 8.5","-20%","-1.36%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 8.5","+20%","5.11%"
"Kenai River","Middle","Age 0 Coho","2060-2069","RCP 8.5","Mean","2.19%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","-20%","-1.35%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","+20%","-0.78%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 6.0","Mean","-1.04%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","-20%","-1.45%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","+20%","-0.79%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2030-2039","RCP 8.5","Mean","-1.09%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-2.99%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","+20%","-1.80%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 6.0","Mean","-2.33%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-5.11%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","+20%","-3.24%"
"Ptarmigan Creek","Lower","Age 0 Chinook","2060-2069","RCP 8.5","Mean","-4.08%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","-20%","-1.73%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","+20%","-1.19%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 6.0","Mean","-1.45%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","-20%","-1.89%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","+20%","-1.26%"
"Ptarmigan Creek","Lower","Age 0 Coho","2030-2039","RCP 8.5","Mean","-1.54%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","-20%","-3.79%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","+20%","-2.65%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 6.0","Mean","-3.18%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","-20%","-6.35%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","+20%","-4.57%"
"Ptarmigan Creek","Lower","Age 0 Coho","2060-2069","RCP 8.5","Mean","-5.38%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","-20%","-1.44%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","+20%","-0.89%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 6.0","Mean","-1.15%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","-20%","-1.55%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","+20%","-0.92%"
"Ptarmigan Creek","Lower","Age 1 Coho","2030-2039","RCP 8.5","Mean","-1.21%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","-20%","-3.15%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","+20%","-2.03%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 6.0","Mean","-2.54%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","-20%","-5.37%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","+20%","-3.58%"
"Ptarmigan Creek","Lower","Age 1 Coho","2060-2069","RCP 8.5","Mean","-4.40%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","-20%","-0.85%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","+20%","-0.56%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 6.0","Mean","-0.70%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","-20%","-0.91%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","+20%","-0.59%"
"Ptarmigan Creek","Middle","Age 1 Coho","2030-2039","RCP 8.5","Mean","-0.74%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","-20%","-1.91%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","+20%","-1.27%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 6.0","Mean","-1.56%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","-20%","-3.11%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","+20%","-2.11%"
"Ptarmigan Creek","Middle","Age 1 Coho","2060-2069","RCP 8.5","Mean","-2.57%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","-20%","0.04%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","+20%","1.07%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 6.0","Mean","0.63%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","-20%","0.32%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","+20%","1.58%"
"Russian River","Lower","Age 0 Chinook","2030-2039","RCP 8.5","Mean","1.03%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","-20%","-0.23%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","+20%","1.84%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 6.0","Mean","0.94%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","-20%","-1.41%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","+20%","1.86%"
"Russian River","Lower","Age 0 Chinook","2060-2069","RCP 8.5","Mean","0.42%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 6.0","-20%","-1.05%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 6.0","+20%","0.01%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 6.0","Mean","-0.47%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 8.5","-20%","-1.02%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 8.5","+20%","0.28%"
"Russian River","Lower","Age 0 Coho","2030-2039","RCP 8.5","Mean","-0.30%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 6.0","-20%","-2.41%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 6.0","+20%","-0.27%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 6.0","Mean","-1.23%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 8.5","-20%","-4.77%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 8.5","+20%","-1.44%"
"Russian River","Lower","Age 0 Coho","2060-2069","RCP 8.5","Mean","-2.94%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 6.0","-20%","-0.44%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 6.0","+20%","0.55%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 6.0","Mean","0.10%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 8.5","-20%","-0.31%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 8.5","+20%","0.91%"
"Russian River","Lower","Age 1 Coho","2030-2039","RCP 8.5","Mean","0.36%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 6.0","-20%","-1.16%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 6.0","+20%","0.83%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 6.0","Mean","-0.07%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 8.5","-20%","-2.78%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 8.5","+20%","0.34%"
"Russian River","Lower","Age 1 Coho","2060-2069","RCP 8.5","Mean","-1.06%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 6.0","-20%","-7.32%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 6.0","+20%","-5.76%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 6.0","Mean","-6.45%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 8.5","-20%","-7.90%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 8.5","+20%","-6.14%"
"Russian River","Middle","Age 0 Coho","2030-2039","RCP 8.5","Mean","-6.90%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 6.0","-20%","-14.57%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 6.0","+20%","-11.69%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 6.0","Mean","-12.97%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 8.5","-20%","-22.82%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 8.5","+20%","-18.64%"
"Russian River","Middle","Age 0 Coho","2060-2069","RCP 8.5","Mean","-20.50%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 6.0","-20%","-5.87%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 6.0","+20%","-4.70%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 6.0","Mean","-5.23%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 8.5","-20%","-6.29%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 8.5","+20%","-4.96%"
"Russian River","Middle","Age 1 Coho","2030-2039","RCP 8.5","Mean","-5.56%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 6.0","-20%","-11.82%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 6.0","+20%","-9.59%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 6.0","Mean","-10.60%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 8.5","-20%","-18.72%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 8.5","+20%","-15.48%"
"Russian River","Middle","Age 1 Coho","2060-2069","RCP 8.5","Mean","-16.94%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 6.0","-20%","-4.95%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 6.0","+20%","-3.61%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 6.0","Mean","-4.18%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 8.5","-20%","-5.45%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 8.5","+20%","-3.86%"
"Russian River","Upper","Age 0 Coho","2030-2039","RCP 8.5","Mean","-4.58%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 6.0","-20%","-10.81%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 6.0","+20%","-8.06%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 6.0","Mean","-9.25%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 8.5","-20%","-18.32%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 8.5","+20%","-14.09%"
"Russian River","Upper","Age 0 Coho","2060-2069","RCP 8.5","Mean","-15.95%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 6.0","-20%","-3.89%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 6.0","+20%","-2.83%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 6.0","Mean","-3.30%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 8.5","-20%","-4.26%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 8.5","+20%","-2.95%"
"Russian River","Upper","Age 1 Coho","2030-2039","RCP 8.5","Mean","-3.54%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 6.0","-20%","-8.59%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 6.0","+20%","-6.37%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 6.0","Mean","-7.37%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 8.5","-20%","-14.77%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 8.5","+20%","-11.32%"
"Russian River","Upper","Age 1 Coho","2060-2069","RCP 8.5","Mean","-12.87%"
